TEAM,draw,"OPAQUE YELLOW",WHITE,"LIGHT PINK","DARK PINK",BLUE,GREEN,GOLDEN YELLOW,"LEMON LIME",PURPLE,BLACK,ORANGE,team
1,1,75.0,7.0,7.0,8.0,8.0,8.0,5.0,5.0,8.0,9.0,12.0,Team 1
1,2,91.0,15.0,9.0,9.0,9.0,4.0,7.0,9.0,11.0,11.0,10.0,Team 1
1,3,69.0,5.0,4.0,6.0,15.0,7.0,10.0,5.0,10.0,7.0,10.0,Team 1
1,4,79.0,7.0,12.0,10.0,12.0,12.0,6.0,10.0,8.0,5.0,15.0,Team 1
3,1,67.0,5.0,8.0,8.0,6.0,4.0,9.0,11.0,1.0,4.0,8.0,Team 3
3,2,94.0,16.0,14.0,19.0,10.0,14.0,6.0,2.0,15.0,6.0,13.0,Team 3
3,3,76.0,10.0,12.0,13.0,11.0,15.0,9.0,7.0,7.0,11.0,7.0,Team 3
3,4,61.0,9.0,10.0,8.0,7.0,4.0,9.0,5.0,15.0,6.0,14.0,Team 3
4,1,84.0,10.0,10,14.0,14.0,12.0,7.0,8.0,9.0,12.0,8.0,Team 4
4,2,81.0,6.0,8,6.0,12.0,12.0,4.0,10.0,11.0,8.0,3.0,Team 4
4,3,83.0,8.0,12,10.0,11.0,10.0,9.0,9.0,5.0,16.0,12.0,Team 4
4,4,91.0,8.0,11,12.0,13.0,6.0,7.0,10.0,3.0,6.0,7.0,Team 4
5,1,78.0,12.0,6.0,10.0,3.0,8.0,6.0,13.0,14.0,5.0,10.0,Team 5
5,2,95.0,10.0,10.0,5.0,9.0,8.0,12.0,9.0,9.0,13.0,12.0,Team 5
5,3,92.0,15.0,12.0,8.0,9.0,12.0,9.0,9.0,20.0,12.0,9.0,Team 5
5,4,106.0,13.0,17.0,13.0,12.0,14.0,9.0,14.0,13.0,17.0,9.0,Team 5
