Year,Country,Value
2000,Kenya,12.0
2001,Kenya,8.4
2002,Kenya,8.8
2003,Kenya,7.6
2004,Kenya,2.3
2005,Kenya,3.4
2006,Kenya,2.4
2007,Kenya,10.3
2008,Kenya,6.1
2009,Kenya,8.6
2010,Kenya,13.8
2011,Kenya,5.2
2012,Kenya,7.3
2013,Kenya,11.8
2014,Kenya,5.0
2015,Kenya,3.0
2016,Kenya,5.8
2017,Kenya,4.1
2018,Kenya,14.1
2019,Kenya,12.5
2020,Kenya,10.2
2021,Kenya,13.3
2022,Kenya,12.4
2000,Ghana,4.4
2001,Ghana,13.6
2002,Ghana,9.0
2003,Ghana,12.5
2004,Ghana,13.6
2005,Ghana,6.1
2006,Ghana,3.4
2007,Ghana,5.0
2008,Ghana,7.6
2009,Ghana,12.6
2010,Ghana,13.2
2011,Ghana,2.1
2012,Ghana,8.6
2013,Ghana,7.4
2014,Ghana,4.9
2015,Ghana,3.6
2016,Ghana,6.4
2017,Ghana,14.3
2018,Ghana,6.2
2019,Ghana,8.7
2020,Ghana,11.1
2021,Ghana,6.7
2022,Ghana,14.6
2000,Nigeria,14.5
2001,Nigeria,5.3
2002,Nigeria,8.5
2003,Nigeria,5.9
2004,Nigeria,5.7
2005,Nigeria,2.5
2006,Nigeria,9.9
2007,Nigeria,8.5
2008,Nigeria,2.7
2009,Nigeria,5.6
2010,Nigeria,13.8
2011,Nigeria,5.1
2012,Nigeria,3.9
2013,Nigeria,8.4
2014,Nigeria,14.8
2015,Nigeria,5.1
2016,Nigeria,10.7
2017,Nigeria,11.9
2018,Nigeria,5.1
2019,Nigeria,11.5
2020,Nigeria,6.8
2021,Nigeria,10.2
2022,Nigeria,10.2
2000,South Africa,9.0
2001,South Africa,3.2
2002,South Africa,12.9
2003,South Africa,6.2
2004,South Africa,4.4
2005,South Africa,2.5
2006,South Africa,9.7
2007,South Africa,10.8
2008,South Africa,2.2
2009,South Africa,8.7
2010,South Africa,4.9
2011,South Africa,10.4
2012,South Africa,4.3
2013,South Africa,11.0
2014,South Africa,7.0
2015,South Africa,14.2
2016,South Africa,3.8
2017,South Africa,6.4
2018,South Africa,3.5
2019,South Africa,14.0
2020,South Africa,13.4
2021,South Africa,5.4
2022,South Africa,10.6
