Year,Country,Value
2000,Kenya,21.0
2001,Kenya,15.2
2002,Kenya,14.7
2003,Kenya,8.3
2004,Kenya,5.0
2005,Kenya,22.7
2006,Kenya,22.8
2007,Kenya,16.9
2008,Kenya,10.5
2009,Kenya,10.7
2010,Kenya,19.0
2011,Kenya,22.7
2012,Kenya,22.5
2013,Kenya,20.2
2014,Kenya,17.1
2015,Kenya,4.9
2016,Kenya,6.6
2017,Kenya,22.8
2018,Kenya,16.3
2019,Kenya,3.2
2020,Kenya,5.2
2021,Kenya,17.6
2022,Kenya,3.1
2000,Ghana,6.5
2001,Ghana,15.1
2002,Ghana,18.2
2003,Ghana,17.3
2004,Ghana,7.9
2005,Ghana,18.7
2006,Ghana,8.2
2007,Ghana,10.2
2008,Ghana,19.4
2009,Ghana,17.3
2010,Ghana,21.7
2011,Ghana,17.5
2012,Ghana,15.5
2013,Ghana,5.1
2014,Ghana,11.1
2015,Ghana,8.8
2016,Ghana,8.4
2017,Ghana,24.4
2018,Ghana,11.6
2019,Ghana,22.6
2020,Ghana,16.9
2021,Ghana,20.5
2022,Ghana,14.1
2000,Nigeria,15.7
2001,Nigeria,13.8
2002,Nigeria,7.3
2003,Nigeria,18.9
2004,Nigeria,9.2
2005,Nigeria,3.5
2006,Nigeria,17.2
2007,Nigeria,6.9
2008,Nigeria,23.7
2009,Nigeria,24.0
2010,Nigeria,23.1
2011,Nigeria,11.1
2012,Nigeria,3.3
2013,Nigeria,23.4
2014,Nigeria,12.4
2015,Nigeria,24.3
2016,Nigeria,24.2
2017,Nigeria,21.8
2018,Nigeria,9.5
2019,Nigeria,11.5
2020,Nigeria,21.7
2021,Nigeria,10.0
2022,Nigeria,6.7
2000,South Africa,15.2
2001,South Africa,23.6
2002,South Africa,18.3
2003,South Africa,15.5
2004,South Africa,5.1
2005,South Africa,16.5
2006,South Africa,24.8
2007,South Africa,6.1
2008,South Africa,14.4
2009,South Africa,22.3
2010,South Africa,19.3
2011,South Africa,18.3
2012,South Africa,18.5
2013,South Africa,10.9
2014,South Africa,9.5
2015,South Africa,20.8
2016,South Africa,20.8
2017,South Africa,22.1
2018,South Africa,23.1
2019,South Africa,14.2
2020,South Africa,14.0
2021,South Africa,20.6
2022,South Africa,17.3
